Proceso,Mes,Ano,Presupuesto,Real
Proceso 18,6,2016,1018754,1754649
Proceso 18,7,2016,966757,1665093
Proceso 18,8,2016,3256151,5608228
Proceso 18,9,2016,753614,1297987
Proceso 19,1,2016,11852511,7533949
Proceso 19,2,2016,31214457,31048647
Proceso 19,3,2016,9019186,8558024
Proceso 19,4,2016,22136598,19783773
Proceso 19,5,2016,14832689,12236844
Proceso 19,6,2016,12300452,6507774
Proceso 19,7,2016,53760672,54710737
Proceso 19,8,2016,7395113,14681535
Proceso 19,9,2016,38512560,30734157
Proceso 20,1,2016,18563837,18245438
Proceso 20,2,2016,19912863,19571326
Proceso 20,3,2016,18365466,18050469
Proceso 20,4,2016,14061642,13820463
Proceso 20,5,2016,18604326,18285233
Proceso 20,6,2016,17246243,16950443
Proceso 20,7,2016,16299666,16020101
Proceso 20,8,2016,23794894,23386774
Proceso 20,9,2016,18158235,17846793
Proceso 21,1,2016,3545733,4869836
Proceso 21,2,2016,6427195,8827338
Proceso 21,3,2016,6186060,8496155
Proceso 21,4,2016,3358118,4612159
Proceso 21,5,2016,4551085,6250622
Proceso 21,6,2016,3945709,5419177
Proceso 21,7,2016,1251849,1719334
Proceso 21,8,2016,5051444,6937833
Proceso 21,9,2016,10224806,14043112
Proceso 22,1,2016,28904169,64577832
Proceso 22,2,2016,154806320,104727118
Proceso 22,3,2016,157161189,94653456
Proceso 22,4,2016,113322088,117871139
Proceso 22,5,2016,164332434,130329264
Proceso 22,6,2016,89054129,97203944
Proceso 22,7,2016,41041360,71128821
Proceso 22,8,2016,68339235,107153299
Proceso 22,9,2016,41444696,86138858
Proceso 24,1,2016,2550116,3273808
Proceso 24,2,2016,14366029,18442935
Proceso 24,3,2016,4748227,6095718
Proceso 24,4,2016,16564388,21265163
Proceso 24,5,2016,30486531,39138244
Proceso 24,6,2016,20123690,25834553
Proceso 24,7,2016,26994559,34655291
Proceso 24,8,2016,25839899,33172952
Proceso 24,9,2016,17402029,22340517
Proceso 25,1,2016,2606414,19614335
Proceso 25,2,2016,1506285,15040349
Proceso 25,3,2016,5144534,24801543
Proceso 25,4,2016,30261278,33017126
Proceso 25,5,2016,42250825,58460593
Proceso 25,6,2016,21844738,47840961
Proceso 25,7,2016,2955832,25062646
Proceso 25,8,2016,39817990,41526645
Proceso 25,9,2016,7378566,24638562
Proceso 26,4,2016,0,49585
Proceso 27,1,2016,293287,385692
Proceso 27,2,2016,744412,978952
Proceso 27,3,2016,233605,307206
Proceso 27,5,2016,904195,1189078
Proceso 27,6,2016,98136,129056
Proceso 27,7,2016,87805,115470
Proceso 27,8,2016,277691,365182
Proceso 28,1,2016,1581949,8192922
Proceso 28,2,2016,167120,865514
Proceso 28,3,2016,212776,1101968
Proceso 28,4,2016,1219096,6313705
Proceso 28,5,2016,5801866,30047896
Proceso 28,7,2016,1113953,5769169
Proceso 28,8,2016,238267,1233984
Proceso 28,9,2016,511944,2651361
Proceso 29,1,2016,2620033,2013936
Proceso 29,2,2016,2460986,2587667
Proceso 29,3,2016,488944,952016
Proceso 29,4,2016,3493351,2359796
Proceso 29,5,2016,3393328,2060923
Proceso 29,6,2016,173930,587975
Proceso 29,7,2016,4930860,1934375
Proceso 29,8,2016,125806,619831
Proceso 29,9,2016,401434,867693
Proceso 30,1,2016,50421586,43245741
Proceso 30,2,2016,88794444,72794427
Proceso 30,3,2016,76414441,62674819
Proceso 30,4,2016,84352360,69701251
Proceso 30,5,2016,56005538,59842809
Proceso 30,6,2016,90756026,68004602
Proceso 30,7,2016,78848161,57827600
Proceso 30,8,2016,107286737,79917220
Proceso 30,9,2016,99595910,76521508
Proceso 31,5,2016,0,498728
Proceso 31,7,2016,0,266379
Proceso 31,9,2016,0,446519
